artist,followers,popularity,offer
Jasper Sloan Yip,736,11,18446.0
Jay Arner,1230,26,2502.0
Jay Glavany,823,24,2000.0
Jay PuzzLe,240,5,9246.0
JayWood,690,25,6255.0
Jayda G,40262,57,40000.0
Jaye Marsh,0,0,10000.0
Jazz Cartier,104321,55,40969.0
Jazzy Monika,1,0,2000.0
Jeff Beadle,1297,15,29485.0
Jeffery Straker,1638,21,2000.0
Jenie Thai,400,3,2000.0
Jenna Marie Gallant,0,0,2000.0
Jennifer Castle,4752,23,21805.0
Jennifer King,0,0,30544.0
Jenny Mayhem,579,31,2000.0
Jeremie Albino,4708,41,3795.5
Jeremy Dutcher,11944,28,53183.0
Jeremy Fisher,5224,30,10350.0
Jeremy Inkel,231,3,8868.0
Jerrica Alyssa,2188,17,2000.0
Jerry Cook,35,3,7924.0
Jerry Leger,737,16,55333.86
Jerry Sereda,252,7,10299.0
Jess Moskaluke,24913,49,1150.0
Jesse Cook,63658,53,65000.0
Jesse Mac Cormack,6999,38,13634.0
Jesse Roper,12326,42,44703.0
Jesse Stone,362,12,2000.0
Jessica Chaz,127,0,1035.0
Jessica Moss Music,0,0,2460.0
Jessica Sevier,3662,6,2000.0
Jessica Strong,0,0,2000.0
Jessica Wedden,0,0,2000.0
Jessie Alexandra,0,0,2000.0
Jessie Brown,134,16,3150.0
Jessie Farrell,2831,16,45000.0
Jessie Gosling,26,0,2000.0
Jessie Jean,0,0,2000.0
Jibril,0,0,2000.0
Jill Barber,34537,53,10190.0
Jillian Lake,313,8,10000.0
Jim Audet,87,3,2000.0
Jimmi The Dealer,90,32,2000.0
Jimmy Rankin,6687,36,1725.0
Joan Bessie,56,1,1035.0
Joanna Majoko,1,0,2000.0
Jocelyn Pettit,14,1,10000.0
Joe Nolan,1134,13,1380.0
Joe Stanton,8,2,2000.0
Joel Eel,189,5,1600.0
Joel In Blue,0,0,2000.0
Joel Plaskett,26721,39,35544.0
Joey Stylez,4745,35,7000.0
Joey Tyler,348,6,2000.0
Johann,0,0,2000.0
John Finley,6,0,25000.0
John Jacob Magistery,1743,13,3380.0
John Muirhead,4775,25,1380.0
John Mutter,0,0,2000.0
John River,2916,14,25000.0
John Wort Hannam,641,12,1380.0
Johnny 99,177,3,2000.0
Jom Comyn,506,6,2530.0
Jon Bryant,27416,49,7468.93
Jon Vinyl,26094,50,10000.0
Jon and Roy,30834,50,45462.0
Jonathan Roy,46373,55,44720.0
Jonsy,525,25,20000.0
Jordan Hart,3000,36,47919.42
Jordan Klassen,7415,33,40013.0
Jordana Of Earth,101,2,2000.0
Jordyn Pollard,197,8,2000.0
Joseph Shabason,13350,40,13950.0
Josh Sahunta,3753,41,1380.0
Joshua Van Tassel,521,14,16483.0
José  Lobo,0,0,2000.0
Joy Lapps,108,2,8000.0
JoyRide,5630,32,10000.0
Joyce N'sana,221,9,10000.0
Joyia,673,29,2000.0
Jozem,0,0,10000.0
Joéllen,279,18,10000.0
Joël Lobban,0,0,104234.67
Juicebox Band,0,0,2000.0
Julian Daniel,3702,31,23184.0
Julian Taylor Band,2643,23,26900.0
Julie Neff,451,6,4940.0
July Talk,101965,49,23733.129999999997
June Garber,64,1,10000.0
Junk,6226,39,10222.0
Just Costa,273,15,2000.0
Justin Nozuka,88109,54,66995.61
Justin Wright,404,6,13170.0
Justine Tyrell,486,23,10000.0
K-Riz,0,0,2000.0
KADIRI,2,0,2000.0
KEN mode,15275,28,6232.0
KIANA,15,19,2000.0
KROY,5551,38,1656.0
KTOE,763,28,25256.81
Kaade,12,0,2000.0
Kacy & Clayton,14341,44,30000.0
Kadeema,781,24,63665.6
Kaeley Jade,219,7,2000.0
Kai Lamay,55,4,2000.0
Kalaisan Kalaichelvan,23,1,2000.0
Kalon Hart,28,0,1265.0
Kalyna Rakel,511,8,1553.0
Kandle,6465,33,50605.0
Kane Incognito,694,20,2000.0
Karate Kactus,759,10,2000.0
Karen Lee Batten,0,1,2000.0
Karissa Hoffart,90,1,2000.0
Karl Wolf,48573,53,49979.47
Karla Adolphe,713,25,2000.0
Karli June,345,6,15222.0
Kasador,1197,10,10000.0
Kassie K.,71,1,2000.0
Kat And Die Kunst,26,0,1380.0
Kat Danser,242,7,34314.57
Kat no.ELLE,4,0,2000.0
Kate Bevan-Baker,10,17,2000.0
Kate Boothman,170,7,2000.0
Katelin Aragon,532,1,2000.0
Katey Gatta,142,0,2000.0
Katherine Fischer,126,1,2000.0
Katherine Penfold,504,4,19785.0
Katie Moore,313,25,2000.0
Katie Rife,1,0,2000.0
Katy Topham,64,3,2000.0
Kay Clarity,82,0,2000.0
Kayla Diamond,3409,40,1725.0
Kaylan Mackinnon,390,8,2000.0
Kaytranada,861301,73,20000.0
Keats Conlon,43,0,2000.0
Keegan Chambers,103,6,2000.0
Keely Valentine,296,5,2000.0
Keeper E.,222,8,8157.0
Keith Ford,5,2,2000.0
Keith O'Rourke,15,0,9800.0
Kelland,711,38,2000.0
Kelly Bado,434,6,3047.0
Ken Tizzard,195,7,1591.0
Kendra Kay,306,13,23513.8
Kennen,4442,38,2000.0
Kenzie Cates,177,5,2000.0
Keys N Krates,183500,58,46050.0
Kid Koala,86756,53,81634.0
Kielley Koyote,87,0,2000.0
Kiesza,277275,63,45350.0
Kilmore,76,0,3265.0
Kim Harris,393,9,11157.23
Kim June Johnson,35,0,2000.0
Kimberly Sunstrum,284,2,2000.0
Kimihiro Yasaka,0,0,2000.0
King Park,399,3,2000.0
King of Foxes,289,2,7000.0
Kinkade,164,1,2000.0
Kintaro Akiyama,2,0,2000.0
Kiran Ahluwalia,2601,15,11495.0
Kirk MacDonald,133,1,2940.0
Kirsten Ludwig,596,8,10000.0
Kirty,1802,19,30522.0
Kitty & The Rooster,211,2,2000.0
Kiwi Jr.,8441,36,39757.0
Kobo Town,2796,31,10000.0
Koffee K,3719,36,2000.0
Korea Town Acid,581,15,35622.0
Kristen Karma,301,0,2000.0
Kristian North,90,6,1809.0
Kristin Witko,170,4,2000.0
Kubla,678,10,2000.0
Kuri,0,0,5750.0
Kutch,1,0,5149.99
Kvne,1750,26,2000.0
Kwansa,0,0,2000.0
Kyara,69,6,2000.0
Kyla Charter,32,16,2000.0
Kyle Connolly,0,0,11399.0
Kyle Ivan,196,1,2000.0
Kyle Richardson,130,14,2000.0
Kylie V,700,21,2000.0
Kyra Mastro,556,43,1495.26
K¥LO,0,0,2000.0
L CON,0,0,1150.0
LAPS,0,0,3265.0
LEATHERS,1605,23,55041.0
LIZ LOKRE,2374,31,10000.0
LOONY,19215,54,43165.0
LT Leif,0,0,2000.0
LU KALA,4641,39,59146.1
La Force,5033,32,1265.0
La Sécurité,0,0,2000.0
Lady Son,2,0,25000.0
Laii,155,6,1150.0
Laila Biali,3668,19,59900.0
Lana Winterhalt,212,7,2000.0
Land Of Talk,38463,40,16483.0
Lara Deutsch,10,2,10000.0
Lara Solnicki,37,3,25000.0
Laraw,645,23,2000.0
Larisa Santiago,86,22,2000.0
Laur Elle,3062,30,2000.0
Laura Hickli,0,0,2000.0
Laura Lucas,127,1,2000.0
Laura Reznek,835,21,12000.0
Laura Smith,179,9,9056.0
Lauren Mayell,181,5,25000.0
Lawrence Maxwell,320,10,2000.0
Leaf Rapids,280,4,1035.0
Leah Allyce Canali,144,5,2000.0
Leanna Oki,252,5,2000.0
Lee Paradise,713,11,4023.0
Leela Gilday,855,15,17838.5
Leeman,25,1,38998.0
Leeroy Stagger,2600,20,64255.0
Legal Vertigo,96,1,1725.0
Lemin,163,21,29650.0
Lennie Gallant,2038,25,2463.0
Lenny,54,54,2000.0
Lenny Bull,142,0,10000.0
Les Deuxluxes,4026,22,2070.0
Les Fireflies,42,1,1725.0
Les Royal Pickles,469,8,5635.0
Lesser Evil,166,1,1380.0
Let's Be Giants,72,3,2000.0
Letchi,137,4,2000.0
Leucrocuta,31,0,2000.0
Lev Snowe,4422,28,1265.0
Levi Dover,5,0,2000.0
Levi Rowan,745,27,27000.0
Lex Leosis,1367,26,10000.0
Li'l Andy,0,0,3553.0
Liam Duncan,363,4,2000.0
Liam Mitro,0,0,2000.0
Liana,976,26,11993.01
Lido Pimienta,63090,52,4167.0
Life In Vacuum,1444,7,2300.0
Lightman Jarvis Ecstatic Band,403,27,2156.0
Like A Motorcycle,964,14,1265.0
Lil Berete,33368,48,10000.0
Lil Windex,44447,47,15000.0
Limblifter,7295,24,10000.0
Linda Carone,139,7,2000.0
Linsey Beckett,0,0,2000.0
Lisa Nicole,458,10,30000.0
Little Destroyer,1720,32,10000.0
Living Hour,2952,23,3840.0
Liza,5197,43,54317.0
Lié,0,0,19166.0
Logan and Nathan,181,5,1553.0
LolaBunz,184,4,1380.0
Lonelyboyxxo,98,0,2000.0
Long Range Hustle,893,23,13254.0
Lorne Lofsky,458,8,15065.25
Loryn Taggart,206,3,2000.0
Los Kabbiociles,17,0,2000.0
Lost Cousins,2086,18,17640.0
Lost Love,860,22,1984.0
Lotus Collective,0,0,2000.0
Lou Canon,544,4,17706.9
Louise Bessette,68,11,10000.0
Love & The Outcome,70215,46,32091.41
Loviet,819,19,12000.0
Loving,82232,53,23657.0
Lozen,281,1,2000.0
Luca Fogale,24951,51,1248.14
Lucette,8977,34,12000.0
Lucid-Afterlife,0,0,20000.0
Ludic,17949,36,47411.2
Luke Lalonde,1957,41,16863.0
Luke McMaster,1122,28,2000.0
Luke Mercier,0,0,26819.0
Lumber Jills,0,0,2000.0
Luminous Voices,112,4,20828.0
Luna Li,23118,49,28366.0
Luxe,0,0,3150.0
Lydia Ainsworth,9615,28,46927.8
Lydia Persaud,94,27,1380.0
Lydia Sutherland,151,16,2000.0
Lynne Hanson,1536,12,2000.0
M.O. Littles,473,10,4588.0
M1RZA,785,10,2000.0
MAD ONES,77,0,28851.7
MAGELLA,15,0,2000.0
MANILA GREY,81404,55,37248.0
MAV,0,0,30000.0
METZ,61703,40,49163.0
MSTRKRFT,96469,41,20000.0
MUNYA,16537,45,1725.0
Maccie,395,3,2000.0
Mad Riddim,50,4,2000.0
Maddie Storvold,601,16,10000.0
Madeleine Roger,366,4,2760.0
Madhouse,917,26,2000.0
Madison Galloway,262,2,2858.98
Madison Olds,4650,41,1950.0
Madison Violet,5109,24,14256.0
Madisyn Whajne,161,3,2000.0
Maeve Delia,72,1,2000.0
Maggie Andrew,1231,39,2000.0
Maggie Szabo,6482,47,37892.0
Magi Merlin,476,11,2000.0
Mahogany Frog,305,5,10000.0
Malade,13,4,2000.0
Malcolm-Jay,0,0,3220.0
Malika Tirolien,2197,25,40000.0
Mamarudegyal MTHC,1,14,1380.0
Mandy McMillan,466,3,2000.0
Manic Drive,34085,44,136737.38
Mappe Of,5345,37,24550.66
Marc Bourdeau,10,1,10000.0
Marcus James,1916,46,3450.0
Marie Davidson,42232,47,20000.0
Marie-Clo,1087,17,3380.0
Marika Galea,0,0,2000.0
Marina Hasselberg,4,0,2000.0
Marissa Burwell,125,1,2623.0
Mark Bragg,189,6,3265.0
Mark Fewer,51,14,13604.83
Marlaena Moore,846,10,2760.0
Marlowe & the MiX,30,12,10000.0
Marrlow Paisley,6,0,2000.0
Marshall,0,0,2000.0
Marshall Potts,48,22,13451.0
Martha Wainwright,57509,50,63493.0
Martin Kerr,2009,31,62929.94
Marvia Providence,4406,33,10000.0
Mat Prince,28,0,2000.0
Matt Andersen,29815,42,37500.0
Matt Dusk,15677,43,20000.0
Matt Lang,12456,47,101240.0
Matt Mays,31749,44,17242.0
Matt Steele,73,3,2000.0
Matthew Emery,41,1,2000.0
Matthew Johnston,50,0,8416.67
Matthew Kliewer,0,0,2000.0
Matthew Progress,556,20,1863.0
Mattmac,3164,21,22868.0
Maura Whitman,113,17,2000.0
Maureen Batt,207,2,10000.0
Max Mira,0,0,2000.0
Max Parker,1147,33,30057.38
Maxim Cormier,46,1,21957.49
Maxime Vallieres,54,0,2000.0
Maya Killtron,986,18,2000.0
Maya Rae,1486,12,38884.63
Maybe Babs,319,9,2000.0
Me and Mae,2329,3,2070.0
Meagan de Lima,363,5,2000.0
Megan Dawson,97,18,2000.0
Megan Freedman,59,3,2000.0
Megan Nash,1647,16,8173.0
Meggie Lennon,424,27,3265.0
Mehdi Bahmad,408,14,1150.0
Mehdi Cayenne,467,8,10000.0
Melanie Brulée,339,2,3380.0
Melissa Lauren,149,2,10000.0
Melodic Yoza,237,17,2000.0
Melody Diachun,83,0,2000.0
Meltt,19723,44,2000.0
Melvin Elray,69,0,2000.0
Memory Pearl,76,0,5146.0
Men Without Hats,142643,59,36000.0
Merganzer,91,1,2000.0
Merkules,347698,66,74217.56
Meryem Saci,776,29,2000.0
Micah Erenberg,1211,9,4388.0
Michael Fabro,91,1,2000.0
Michael Feuerstack,781,13,6758.85
Michael Guiney,0,0,2000.0
Michael Johancsik,0,0,2000.0
Michael Paradise,484,18,2000.0
Michael Peter Olsen,168,22,23406.54
Michael Q. Morales,0,0,2000.0
Michael Scott Dawson,119,5,6521.02
Michael Timmins,230,17,2286.0
Michelle Creber,4120,34,36733.66
Michelle Pereira,0,0,2000.0
Midnight Shine,1015,16,2950.0
Midsplit,17658,49,24608.94
Miesha & The Spanks,30,0,6501.0
Miguel de Armas Quartet,56,2,2000.0
Mike Biggar,0,0,1035.0
Mike Celia,45,0,10000.0
Mike Edel,4076,27,45909.82
Mike Plume,299,12,41231.22
Mike Ruby,1210,31,90472.13
Mikey Jose,807,24,2000.0
Mikhail Laxton,794,22,5946.5
Miko,2344,40,2000.0
Miles Francis,8,0,10000.0
Milhouse,0,0,2000.0
Milla Thyme,178,9,51727.63
Mimi O'Bonsawin,392,13,15000.0
Mimika,0,0,2000.0
Minty Burns,1387,23,2000.0
Mirabelle,51,1,27954.72
Mirrelia,182,8,2000.0
Mischa,304,38,2000.0
Mise en Scene,1097,12,6725.0
Miss Emily,137,2,10000.0
Miss Quincy,238,1,10000.0
Missy Bauman,227,3,2000.0
Mister K,136,13,1150.0
Mister Mister,0,0,2000.0
Mo Kenney,5857,27,6621.16
Mo Moshiri,468,17,1220.0
MoFaux,632,24,2000.0
Mobile,2928,26,34125.0
Moira Bren,2047,25,2000.0
Moka Only,12000,41,32476.25
Monique Spence,2,10,1035.0
Monowhales,3855,33,81175.0
Monster Truck,68045,49,75000.0
Monsune,84412,55,26812.0
Moon King,6984,32,47365.0
Moon Tan,21,8,1150.0
Moonshine,2231,60,24988.0
Moontricks,25232,50,10000.0
More Or Les,595,12,1040.09
Morgan Barrie,10,0,2000.0
Mormor,88600,51,36441.56
Morrissa Nicole,41,0,2000.0
Moscow Apartment,3126,28,32256.29
Motherhood,339,4,7090.0
Mouraine,673,17,1495.46
Mr. Joy,182,14,2000.0
Ms. PANIK,0,0,1680.0
Ms.Holmes,0,0,3150.0
Murda Beatz,120892,67,28118.25
Murge,923,38,2000.0
Murray Kinsley & Wicked Grin,0,0,1725.0
Mustafa,35097,55,75000.0
My Father's Son,137,3,2000.0
My Oldest Friend,44,0,2000.0
Myer Clarity,790,17,3656.0
Myles Lloyd-Edmond,0,0,2000.0
Mønochef,51,0,2000.0
N0V3L,6368,35,9360.0
NAHJI,163,5,2000.0
NDAI,2,0,2000.0
NEWCITY,0,0,35495.0
NICOLAAS,1101,40,2000.0
NIGHT LOVELL,949731,75,5000.0
NOA,0,0,10000.0
NOBRO,5402,30,4000.0
NUTANA,0,0,2000.0
Nailbiter,175,1,5697.0
Nap Eyes,17181,35,43539.0
Nat Jay,1188,20,10000.0
Natali Rachel,116,1,2000.0
Natalie MacMaster,13328,34,20000.0
Natasha Brown (Empress Divine),0,0,2000.0
Nature Of,0,0,38094.5
Naya Liviah,456,9,2000.0
Neck Of The Woods,2486,8,2000.0
Necking,1182,9,30513.93
Neighborhood Libraries,577,33,1725.0
Neon Dreams,16087,48,33273.37
New Age Doom,67,0,3580.0
New Friends,2204,39,2000.0
New Fries,1390,11,3220.0
New Strangers,185,15,2000.0
New Wales,39,1,2000.0
New West,26701,54,10000.0
Nice Horse,2135,27,2000.0
Nick Earle,378,11,6676.62
Nick Faye & The Deputies,211,1,1706.41
Nick Ferrio,212,20,27396.0
Nick La Riviere,35,0,2000.0
Nick Schofield,259,11,1438.0
Nick Zubeck,90,1,2000.0
Nicole Ariana,117,0,2000.0
Nicole Chambers,849,14,2000.0
Nicole Glazunov,196,25,2000.0
Nicole Sumerlyn,157,2,2000.0
Nicolette & The Nobodies,108,1,1265.0
Nightcrawlers,35095,81,7374.0
Nikki Yanofsky,31424,41,60000.0
Nikki's Wives,2509,35,10000.0
Nilo Blues,1403,32,18703.81
Nimrawd,11,0,2000.0
NineTwntyFive,0,0,2000.0
Nixon Boyd,5,0,2000.0
No Frills,4583,28,2000.0
No Joy,23554,31,16773.95
No Tourists,457,15,2000.0
"No, It's Fine.",136,1,2000.0
Noah Derksen,639,13,4141.0
Noah Malcolm,455,25,2000.0
Noam,252,33,2000.0
Noise Unit,7653,24,27688.0
Nora Toutain,157,2,12000.0
Norma MacDonald,150,1,2000.0
Northcote,8444,32,26083.29
Northern Royals,126,1,2000.0
Nothing Man,357,7,2000.0
Nova Rose,1108,30,21114.0
Novusolis,117,0,2000.0
Nuela Charles,2470,28,11380.0
O'Deriic,470,22,2000.0
OKAN,0,0,4791.0
OXALA,18,3,2000.0
Obey The Brave,47149,37,30000.0
Ocie Elliot,0,0,35287.0
Odario,540,22,30520.0
Odonis Odonis,4944,24,1097.0
Ofra Harnoy,1260,22,49094.0
Oli Beaudoin,0,0,2000.0
Oliver Forest,289,3,1000.0
Olivia Wik,68,1,2000.0
One In The Chamber,23,0,2000.0
Operators,11626,28,53180.0
Operus,54,0,23529.0
Ora Cogan,1966,16,1150.0
Orchidae,34,0,2000.0
Ori Dagan,175,4,10000.0
Osé,0,0,2000.0
Otha,13666,40,17770.0
Our Founders,13,0,2000.0
Over The Moon,70,0,9775.0
Overwerk,122438,52,14375.0
Owen Barney,991,40,26429.97
Owen Meany's Batting Stance,228,4,13787.13
Oxlip,125,10,2000.0
PAYDAYRENE,0,0,2000.0
PETRAA,11,0,2208.0
PKEW PKEW PKEW (gunshots),0,0,17000.0
POESY,3224,24,10000.0
PONY,461,45,3725.0
PORT JUVEE,384,5,4140.0
PUP,192178,57,30000.0
PVRX,6000,37,1898.0
PYPY,0,0,2000.0
Paige Flora-Jean Kapinski,0,0,2000.0
Pale Lips,1482,13,2000.0
Pallmer,107,6,2000.0
Pancake,66604,37,1380.0
Pansy Boys,814,6,2000.0
Pantayo,1171,12,4962.91
Paper Beat Scissors,834,9,1380.0
Paper Machetes,0,0,2000.0
Paradise,0,0,35610.88
Parichay,1118,31,10000.0
Park Day,192,1,1265.0
Partner,7044,28,35491.0
Pascale Picard,4476,28,2070.0
Passport Radio,287,4,2000.0
Pat Chessell,73,2,2000.0
Pat LaBarbera and Kirk MacDonald,0,0,2468.0
Pat Robitaille,1093,17,2000.0
Patiently Awaiting The Meteorite,146,2,4430.0
Patricia O'Callaghan,475,13,10000.0
Patrick Holland,2667,43,2000.0
Patrick Murray,6,7,1380.0
Patrick Watson,310077,73,20414.0
Paul Bergman,103,2,2000.0
Paul Chin,887,19,2000.0
Paul Frehner,5,0,10000.0
Paul Weber,1334,30,2000.0
Peach Luffe,11201,33,2000.0
Pearls & Bones,37,1,2000.0
Pedro Casas,32,0,2000.0
Peeling,410,2,4427.5
Penny Diving,304,4,2000.0
Penny Shades,36,0,2000.0
Perfect Strangers,18,3,2000.0
Peter Jackson,4607,43,89000.0
Peter Jessy,774,40,2000.0
Peters and Pilgrim,0,0,2000.0
Petra Glynt,503,1,2000.0
Petric,6072,32,55031.83
Phantom Atlantic,724,20,2000.0
Phoenixx,6,11,2000.0
Phé,4417,46,1416.98
Pierre Kwenders,7875,35,2700.0
Pillea,71,6,2000.0
Piper & Carson,0,0,3106.0
Piper Cole,38,0,2000.0
Plaguebringer,1845,12,2000.0
Plants and Animals,23977,39,11335.84
Polky,35,1,2000.0
Pooks,35,33,2000.0
Poor Nameless Boy,1205,12,1898.0
Porteau,144,0,2657.0
Possum,1160,23,12477.0
Post Script,658,18,3870.0
Post-Modern Connection,1495,9,2000.0
Pottery,11758,32,18004.0
Praises,190,2,1035.0
Prancer,0,0,2000.0
Preoccupations,69995,41,32988.0
Pretty Archie,1612,23,40000.0
Primo Green,1374,23,17576.0
Propagandhi,139877,51,20330.0
Property,0,0,4600.0
Prospect Mundo,662,23,2000.0
Psyc Tha Prince,20,2,2000.0
Pudding,61,0,2000.0
Purity Ring,543372,59,46444.0
Pusher,19317,57,37817.49
Q-Benjamin,699,13,2000.0
Quaker Parents,130,1,1035.0
Quartetto Gelato,718,14,10000.0
Quatuor esca,13,11,10000.0
Queen Of Swords,17,0,2000.0
Quin Etheridge-Pedden,49,0,2000.0
Quinton Taylor,0,0,10000.0
Quirks,98,0,2000.0
Quota,35,19,2000.0
Quote the Raven,608,19,1553.0
R. Flex,0,0,1150.0
RAJ,0,0,21595.0
REBELLE,1127,11,10000.0
REZZ,324958,68,124408.60999999999
RISING RAIN,12,0,2000.0
ROMES,9006,47,2000.0
ROY,0,0,18999.98
RSY,0,0,2000.0
Rachel Vermeer,0,0,2000.0
Radiant Baby,414,7,1725.0
Radiant Divide,11,0,2000.0
Radio Free Universe,7628,5,10000.0
Rae Spoon,4989,22,11658.630000000001
Ragers,1042,20,28420.0
Raincity,0,0,2000.0
Raine Hamilton,605,9,41735.0
Ramon Chicharron,1104,29,2000.0
Ramriddlz,91795,48,12000.0
Randall Spear,59,1,55581.0
Random Recipe,7887,30,32500.0
Ranee Lee,511,10,31687.0
Rapport,241,1,27295.27
Rare Americans,115943,62,4153.32
RasMorgan,4,0,3977.0
Raveen,339,3,2000.0
Rawlins Cross,2209,23,15899.0
Raygun Cowboys,2318,26,41386.0
Real Sickies,629,24,27801.0
Rebecca Lappa,241,18,10000.0
Rebekah Hawker,180,8,2000.0
Red Mass,514,5,2530.0
RedFox,428,8,2000.0
Reeny Smith,418,12,1380.0
Regina Jazz Society Corp.,0,0,1995.0
Relic Kings,128,4,16422.0
Reno McCarthy,325,20,8948.44
Renée Lamoureux,87,3,7559.93
Renée Yoxon,192,1,2000.0
Reuben and the Dark,28081,47,39837.73
Rezonance,0,0,2000.0
Rhyan Douglas,0,0,2000.0
Rhye,533275,68,2777.0
Ria Mae,23248,44,39276.88
RicOz,0,0,20000.0
Rich Aucoin,5699,32,3706.0
Rich Cloke,355,1,10000.0
Rich Lindo,3110,0,3150.0
Richard Inman,764,16,10284.0
Riit,3581,27,8504.0
Rikashay,548,6,2000.0
Rime Salmi,0,16,1265.0
Rob Fairley,0,0,2000.0
Rob Moir,688,3,4486.0
Robert Ogilvie Grieve,0,0,2000.0
Robin Hatch,344,3,2000.0
Robotaki,41612,52,17250.0
Rochester,1160,20,1725.0
Roderick Porter,65040,58,20000.0
Rodrigo Simoes,62,0,2000.0
Rooster Davis Group,0,0,10000.0
Rosa Barocca,0,0,10000.0
Rosanne Baker Thornley,9,0,33158.0
Rose  Cora Perry,0,0,1725.0
Rose Cousins,17114,49,20000.0
Rosemary Lawton,146,17,12569.98
Roshin,558,33,2000.0
Royal Canoe,14570,37,14994.0
Royal Wood,12476,35,22500.0
Rozalind MacPhail,113,0,3036.0
Ruben Esguerra,0,0,2000.0
Ruben Young,3779,36,10000.0
Ruby Waters,14851,50,25532.17
Run Maggie Run,232,1,2000.0
Running Violet,85,1,2000.0
Russell Louder,1116,16,13123.35
Ryan L Oliver,0,0,9919.0
Ryan Langdon,1702,36,59190.72
Ryan McNally,50,0,3497.5
Ryan Shepherd,2102,49,25000.0
Ryland Moranz,0,0,31803.76
Rêves Sonores,68,5,2000.0
SATE,0,0,5250.0
SAUNA,198,18,11150.0
SCARLETT ROSE,25257,43,2000.0
SENAYA,42,2,45000.0
SHEA,0,0,1656.0
SLM,3,0,2000.0
SOCALLED,6215,29,3982.0
SUSSEX,85,0,2000.0
SUUNS,72928,43,30238.5
Saens,1115,23,1035.0
Sahara,2193,35,3112.56
Said the Whale,57882,44,20842.0
Saintfield,7,0,10000.0
Salin,0,0,2000.0
Salvatori,6,0,2000.0
Sam & The Terrible News,67,14,1941.0
Sam Coffey & The Iron Lungs,0,0,22000.0
Sam Louis,829,30,2000.0
Sam Lynch,2253,29,13346.64
Sam Roberts Band,89232,50,58914.0
Sam The Astronaut,1973,25,2000.0
Sam Weber,1460,17,29645.31
Saman Shahi,50,5,20581.96
Samantha Martin,0,5,62075.0
Samuel Kirmayer,0,0,13369.0
Samurai Champs,366,4,6215.0
Sandra Bouza,210,2,1897.0
Sandra Sutter,75,0,2000.0
Sara Diamond,14557,49,44420.0
Sara Silver,0,0,2000.0
Sara-Danielle,363,24,2000.0
Sarah Burton,0,0,2000.0
Sarah Jane Scouten,1004,8,1863.0
Sarah Jickling,0,0,2000.0
Sarah Jordan and Matt Von,56,1,2000.0
Sarah MacDougall,1806,18,28354.0
Sarah Pagé,508,10,6642.0
Sarah Rossy,36,7,2000.0
Sarina Haggarty,435,25,2000.0
Sasha Cay,252,4,2000.0
Sashae',84,0,2000.0
Saveria,888,15,10000.0
Saya,6903,45,32015.0
Sayana,107,16,2000.0
Scarlett Graham,58,0,2000.0
Scattered Clouds,228,1,1150.0
Scenic Route to Alaska,8114,30,71198.25
Scope G,33,1,2000.0
Scott Hardware,2,0,13495.630000000001
Scott Orr,5323,35,2000.0
Scotty Hills,164,4,2000.0
Scrap Arts Music,31,0,10000.0
Sean Davidson,165,5,2000.0
Sean Irvine,0,0,2000.0
Sean Jones,5425,25,10000.0
Sean Nicholas Savage,29209,39,6777.32
Sean Pinchin,430,7,1380.0
Seanster and the Monsters,38,3,2149.0
Seaway,68186,52,67309.65
Secondhand Habit,135,2,2000.0
Selina Martin,240,3,2000.0
Sensei Musica,9788,20,2000.0
Serena Ryder,69553,49,40000.0
Serlin Greaves,258,19,10000.0
Sha Hustle,162,12,3250.0
"Shabason, Krgovich & Harris",1327,20,13627.38
Shagabond,4607,32,10000.0
Shah,0,0,4505.0
Shakura S'Aida,3217,22,10000.0
Shamik,421,12,2000.0
Shane Cook,18,5,10000.0
Shannon Patrice Gunn,0,0,8625.0
Shantaia,305,25,1380.0
Shantel Marquardt,0,0,6244.5
Sharon Dobson,0,0,2000.0
Shaun Frank,49332,57,62825.0
"Shawanda, Crystal",0,0,25000.0
Shawn Hall,3,0,45436.71
Shawn Hook,59877,51,109168.0
Shawn Kerr,319,7,2000.0
Shawna Cain,628,21,2000.0
Sheldon Hunt,48,1,2000.0
Sheng Cai,26,1,10000.0
Sherman Downey,5,0,6156.09
Shope,6411,33,55000.0
Shred Kelly,5170,30,80512.0
Shuffalo,386,7,2000.0
Siadic,59,0,2000.0
Sick Things,155,1,2432.45
Side Hustle,13381,28,10000.0
Significant Other,62,0,2000.0
Silence Kit,110,0,5000.0
Silverstein,537672,64,153985.0
Silvia Temis,3,0,2000.0
Simon and the Island,83,0,4500.0
Single Mothers,19366,34,30000.0
Sirens,0,0,17156.58
Sirreal Music,0,0,20000.0
Skatton Club,13,0,3610.0
Skevious Tips,175,5,1656.0
Slash Need,19,0,2000.0
Sleepless Nights,167,2,1725.0
Sleepy Kicks,171,11,2000.0
Slow Down Molasses,0,0,2277.0
Slow Leaves,2115,28,7487.0
Slow Spirit,351,5,3719.0
Small Sins,860,19,41211.0
Smokehouse,1268,26,43020.72
Snails,123579,51,120575.0
Snak The Ripper,93769,56,27272.010000000002
Snotty Nose Rez Kids,24173,45,35211.5
Sofia Kay,879,30,2000.0
Soft Plastics,257,2,13913.6
Somerset,112,4,2000.0
SonReal,123263,58,19738.43
Sook-Yin Lee,222,8,34252.0
Sophia Bel,4851,48,1380.0
Sophie Lukacs,0,0,2000.0
Sophie Noel,52,0,2000.0
Soran,34352,49,2460.0
